ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CommonTranscription
Mentawai-1_go-1,1,Mentawai,1_go,bedoetoei,bedoetoei,b ɛ d u t u i,,VonRosenberg1853,,,^ b e d oe t oe i $,default,bedutui
Mentawai-2_stand-1,2,Mentawai,2_stand,soeroeke,soeroeke,s u r u k ɛ,,VonRosenberg1853,,,^ s oe r oe k e $,default,suruke
Mentawai-3_run-1,3,Mentawai,3_run,noengan,noengan,n u ŋ a n,,VonRosenberg1853,,,^ n oe ng a n $,default,nungan
Mentawai-4_sit-1,4,Mentawai,4_sit,koeddoe,koeddoe,k u d d u,,VonRosenberg1853,,,^ k oe d d oe $,default,kuddu
Mentawai-5_come-1,5,Mentawai,5_come,kepanoebara,kepanoebara,k ɛ p a n u b a r a,,VonRosenberg1853,,,^ k e p a n oe b a r a $,default,kepanubara
Mentawai-6_stay-1,6,Mentawai,6_stay,gala,gala,ɡ a l a,,VonRosenberg1853,,,^ g a l a $,default,gala
Mentawai-7_open-1,7,Mentawai,7_open,"roekoetnake , -boekakai",roekoetnake,r u k u t n a k ɛ,,VonRosenberg1853,,,^ r oe k oe t n a k e $,default,"rukutnake , -bukakai"
Mentawai-7_open-2,7,Mentawai,7_open,"roekoetnake , -boekakai",-boekakai,<<->> b u k a k a i,,VonRosenberg1853,,,^ <-> b oe k a k a i $,default,"rukutnake , -bukakai"
Mentawai-8_give-1,8,Mentawai,8_give,"kau , aketkako",kau,k a u,,VonRosenberg1853,,,^ k a u $,default,"kau , aketkako"
Mentawai-8_give-2,8,Mentawai,8_give,"kau , aketkako",aketkako,a k ɛ t k a k o,,VonRosenberg1853,,,^ a k e t k a k o $,default,"kau , aketkako"
Mentawai-271_gift-1,9,Mentawai,271_gift,poengroeat,poengroeat,p u ŋ r u a t,,VonRosenberg1853,,,^ p oe ng r oe a t $,default,pungruat
Mentawai-9_sell-1,10,Mentawai,9_sell,pasakkie,pasakkie,p a s a k k i,,VonRosenberg1853,,,^ p a s a k k ie $,default,pasakki
Mentawai-10_buy-1,11,Mentawai,10_buy,menginang,menginang,m ɛ ŋ i n a ŋ,,VonRosenberg1853,,,^ m e ng i n a ng $,default,menginang
Mentawai-11_want-1,12,Mentawai,11_want,noba,noba,n o b a,,VonRosenberg1853,,,^ n o b a $,default,noba
Mentawai-12_see-1,13,Mentawai,12_see,djo,djo,d͡ʒ o,,VonRosenberg1853,,,^ dj o $,default,jo
Mentawai-13_make-1,14,Mentawai,13_make,galeij,galeij,ɡ a l ɛi̯,,VonRosenberg1853,,,^ g a l eij $,default,gale:i
Mentawai-14_search-1,15,Mentawai,14_search,gaba,gaba,ɡ a b a,,VonRosenberg1853,,,^ g a b a $,default,gaba
Mentawai-15_speak-1,16,Mentawai,15_speak,tibboi,tibboi,t i b b o i,,VonRosenberg1853,,,^ t i b b o i $,default,tibboi
Mentawai-16_laugh-1,17,Mentawai,16_laugh,gah-gah,gah-gah,ɡ a h <<->> ɡ a ʔ,,VonRosenberg1853,,,^ g a h <-> g a h$,default,ga'-ga'
Mentawai-17_cry-1,18,Mentawai,17_cry,mso,mso,m s o,,VonRosenberg1853,,,^ m s o $,default,mso
Mentawai-18_food-1,19,Mentawai,18_food,mokkom,mokkom,m o k k o m,,VonRosenberg1853,,,^ m o k k o m $,default,mokkom
Mentawai-19_drink-1,20,Mentawai,19_drink,lo,lo,l o,,VonRosenberg1853,,,^ l o $,default,lo
Mentawai-20_cooking-1,21,Mentawai,20_cooking,meleoe,meleoe,m ɛ l ɛ u,,VonRosenberg1853,,,^ m e l e oe $,default,meleu
Mentawai-21_cut-1,22,Mentawai,21_cut,tjatja,tjatja,t͡ʒ a t͡ʒ a,,VonRosenberg1853,,,^ tj a tj a $,default,caca
Mentawai-22_hit-1,23,Mentawai,22_hit,bohbo,bohbo,b o h b o,,VonRosenberg1853,,,^ b o h b o $,default,bo'bo
Mentawai-23_dare-1,24,Mentawai,23_dare,megage,megage,m ɛ ɡ a ɡ ɛ,,VonRosenberg1853,,,^ m e g a g e $,default,megage
Mentawai-60_dead-1,25,Mentawai,60_dead,melotje,melotje,m ɛ l o t͡ʒ ɛ,,VonRosenberg1853,,,^ m e l o tj e $,default,meloce
Mentawai-25_sleep-1,26,Mentawai,25_sleep,mereb,mereb,m ɛ r ɛ b,,VonRosenberg1853,,,^ m e r e b $,default,mereb
Mentawai-26_dreams-1,27,Mentawai,26_dreams,pengaboetoet,pengaboetoet,p ɛ ŋ a b u t u t,,VonRosenberg1853,,,^ p e ng a b oe t oe t $,default,pengabutut
