ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_go,go,695,GO,1
2_stand,stand,1442,STAND,2
3_run,run,1519,RUN,3
4_sit,sit,1416,SIT,4
5_come,come,1446,COME,5
6_stay,stay,987,REMAIN,6
7_open,open,1156,OPEN,7
8_give,give,1447,GIVE,8
9_sell,sell,1571,SELL,9
10_buy,buy,1869,BUY,10
11_want,want,1784,WANT,11
12_see,see,1409,SEE,12
13_make,make,734,MAKE,13
14_search,search,1468,LOOK FOR,14
15_speak,speak,1623,SPEAK,15
16_laugh,laugh,1355,LAUGH,16
17_cry,cry,1839,CRY,17
18_food,food,256,FOOD,18
19_drink,drink,1401,DRINK,19
20_cooking,cooking,1100,COOK (SOMETHING),20
21_cut,cut,1432,CUT,21
22_hit,hit,1433,HIT,22
23_dare,dare,1779,DARE,23
24_dead,dead,1625,DEAD,24
25_sleep,sleep,1585,SLEEP,25
26_dreams,dreams,2374,DREAM,26
27_beg,beg,3534,BEG,27
28_exchange,exchange,2509,EXCHANGE,28
29_love,love,923,LOVE,29
30_wishes,wishes,2960,LONGING (WISH),30
31_sewing,sewing,1457,SEW,31
32_climb,climb,1102,CLIMB,32
33_readingandwriting,reading and writing,,<NA>,33
34_dread,dread,781,FEAR (FRIGHT),34
35_fight,fight,1423,FIGHT,35
36_tattoo,tattoo,68,TATTOO,36
37_steal,steal,713,STEAL,37
38_lie,lie,2826,LIE (FALSEHOOD),38
39_rowing,rowing,1848,QUARREL,39
40_work,work,2281,WORKING OR WORK,40
41_thinking,thinking,2271,THINK,41
42_smell,smell,2124,SMELL,42
43_bind,bind,1917,TIE,43
44_marrying,marrying,203,MARRY,44
45_regards,regards,3552,GREET,45
46_swimming,swimming,1439,SWIM,46
47_archery,archery,1172,SHOOT,47
48_dance,dance,1879,DANCE,48
49_sing,sing,1261,SING,49
50_diving,diving,119,DIVE,50
51_fishing,fishing,2638,FISHING,51
52_forgotten,forgotten,1523,FORGET,52
53_ask,ask,1309,ASK (INQUIRE),53
54_bring,bring,692,BRING,54
55_wait,wait,1590,WAIT (FOR),55
56_can,can,972,BE ABLE,56
57_its,its,2092,HIS OR HER,57
58_become,become,1990,BECOME,58
59_alive,alive,1422,BE ALIVE,59
60_dead,dead,1625,DEAD,60
61_great,great,1202,BIG,61
62_small,small,1246,SMALL,62
63_straight,straight,1404,STRAIGHT,63
64_crooked,crooked,297,CROOKED,64
65_long,long,1203,LONG,65
66_short,short,1645,SHORT,66
67_heavy,heavy,1210,HEAVY,67
68_lying,lying,215,LIE DOWN,68
69_wide,wide,1243,WIDE,69
70_high,high,1265,HIGH,70
71_low,low,721,LOW,71
72_deep,deep,1593,DEEP,72
73_fine,fine,2157,FINE OR THIN,73
74_coarse,coarse,2151,COARSE,74
75_clean,clean,704,CLEAN,75
76_ugly,ugly,1548,UGLY,76
77_far,far,1406,FAR,77
78_near,near,1942,NEAR,78
79_thick,thick,1244,THICK,79
80_thin,thin,2308,THIN,80
81_sweet,sweet,717,SWEET,81
82_sour,sour,1906,SOUR,82
83_bitter,bitter,887,BITTER,83
84_hard,hard,1884,HARD,84
85_soft,soft,1856,SOFT,85
86_hot,hot,1286,HOT,86
87_cold,cold,1287,COLD,87
88_diligently,diligently,2077,DILIGENT,88
89_lazy,lazy,1564,LAZY,89
90_stinking,stinking,42,STINKING,90
91_enough,enough,1881,ENOUGH,91
92_notenough,not enough,2329,LACK (NOT HAVE),92
93_inside,inside,1606,INSIDE,93
94_outside,outside,762,OUTSIDE,94
95_tired,tired,1757,TIRED,95
96_silent,silent,48,BE SILENT,96
97_sick,sick,1847,SICK,97
98_yes,yes,1268,YES,98
99_no,no,1269,NO,99
100_me,me,2301,ME,100
101_thou,thou,1215,THOU,101
102_he,he,1211,HE,102
103_my,my,2090,MY,103
104_his,his,2473,HIS (GENITIVE OF HE),104
105_here,here,136,HERE,105
106_thisandthat,this and that,,<NA>,106
107_black,black,163,BLACK,107
108_white,white,1335,WHITE,108
109_red,red,156,RED,109
110_green,green,1425,GREEN,110
111_yellow,yellow,1424,YELLOW,111
112_blue,blue,837,BLUE,112
113_ready,ready,790,READY,113
114_dark,dark,706,DARK,114
115_day,day,1225,DAY (NOT NIGHT),115
116_night,night,1233,NIGHT,116
117_sun,sun,1343,SUN,117
118_moon,moon,1313,MOON,118
119_star,star,1430,STAR,119
