GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
go	1	695	GO
stand	2	1442	STAND
run	3	1519	RUN
sit	4	1416	SIT
come	5	1446	COME
stay	6	987	REMAIN
open	7	1156	OPEN
give	8	1447	GIVE
sell	9	1571	SELL
buy	10	1869	BUY
want	11	1784	WANT
see	12	1409	SEE
make	13	734	MAKE
search	14	1468	LOOK FOR
speak	15	1623	SPEAK
laugh	16	1355	LAUGH
cry	17	1839	CRY
food	18	256	FOOD
drink	19	1401	DRINK
cooking	20	1100	COOK (SOMETHING)
cut	21	1432	CUT
hit	22	1433	HIT
dare	23	1779	DARE
dead	24	1625	DEAD
sleep	25	1585	SLEEP
dreams	26	2374	DREAM
beg	27	3534	BEG
exchange	28	2509	EXCHANGE
love	29	923	LOVE
wishes	30	2960	LONGING (WISH)
sewing	31	1457	SEW
climb	32	1102	CLIMB
reading and writing	33	0	<NA>
dread	34	781	FEAR (FRIGHT)
fight	35	1423	FIGHT
tattoo	36	68	TATTOO
steal	37	713	STEAL
lie	38	2826	LIE (FALSEHOOD)
rowing	39	1848	QUARREL
work	40	2281	WORKING OR WORK
thinking	41	2271	THINK
smell	42	2124	SMELL
bind	43	1917	TIE
marrying	44	203	MARRY
regards	45	3552	GREET
swimming	46	1439	SWIM
archery	47	1172	SHOOT
dance	48	1879	DANCE
sing	49	1261	SING
diving	50	119	DIVE
fishing	51	2638	FISHING
forgotten	52	1523	FORGET
ask	53	1309	ASK (INQUIRE)
bring	54	692	BRING
wait	55	1590	WAIT (FOR)
can	56	972	BE ABLE
its	57	2092	HIS OR HER
become	58	1990	BECOME
alive	59	1422	BE ALIVE
dead	60	1625	DEAD
great	61	1202	BIG
small	62	1246	SMALL
straight	63	1404	STRAIGHT
crooked	64	297	CROOKED
long	65	1203	LONG
short	66	1645	SHORT
heavy	67	1210	HEAVY
lying	68	215	LIE DOWN
wide	69	1243	WIDE
high	70	1265	HIGH
low	71	721	LOW
deep	72	1593	DEEP
fine	73	2157	FINE OR THIN
coarse	74	2151	COARSE
clean	75	704	CLEAN
ugly	76	1548	UGLY
far	77	1406	FAR
near	78	1942	NEAR
thick	79	1244	THICK
thin	80	2308	THIN
sweet	81	717	SWEET
sour	82	1906	SOUR
bitter	83	887	BITTER
hard	84	1884	HARD
soft	85	1856	SOFT
hot	86	1286	HOT
cold	87	1287	COLD
diligently	88	2077	DILIGENT
lazy	89	1564	LAZY
stinking	90	42	STINKING
enough	91	1881	ENOUGH
not enough	92	2329	LACK (NOT HAVE)
inside	93	1606	INSIDE
outside	94	762	OUTSIDE
tired	95	1757	TIRED
silent	96	48	BE SILENT
