ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
270	serimoea	s e r i m u a	serimua	s ɛ r i m u a	sɛrimua	mensch	human	PERSON	683	432	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
271	seribenoea	s e r i b e n u a	seribenua	s ɛ r i b ɛ n u a	sɛribɛnua	mensch	human	PERSON	683	432	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
272	takohloe	t a k o h l u	takohlu	t a k o h l u	takohlu	vrouw	woman	WOMAN	962	432	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
273	sinanaleb	s i n a n a l e b	sinanaleb	s i n a n a l ɛ b	sinanalɛb	vrouw	woman	WOMAN	962	432	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
274	toa	t o a	toa	t o a	toa	kind	child	CHILD	2099	432	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
275	togah	t o g a '	toga'	t o ɡ a ʔ	toɡaʔ	kind	child	CHILD	2099	432	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
276	adjang	a j a ng	ajang	a d͡ʒ a ŋ	ad͡ʒaŋ	neus	nose	NOSE	1221	432	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
277	asat	a s a t	asat	a s a t	asat	neus	nose	NOSE	1221	432	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
278	moengoe	m u ng u	mungu	m u ŋ u	muŋu	mond	mouth	MOUTH	674	432	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
279	ngoengoe	ng u ng u	ngungu	ŋ u ŋ u	ŋuŋu	mond	mouth	MOUTH	674	432	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
280	flinga	f l i ng a	flinga	f l i ŋ a	fliŋa	oor	ear	EAR	1247	433	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
281	gigie	g i g i	gigi	ɡ i ɡ i	ɡiɡi	oor	ear	EAR	1247	433	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
282	lau	l a u	lau	l a u	lau	hals	neck	NECK	1333	433	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
283	ellokat	e l l o k a t	ellokat	ɛ l l o k a t	ɛllokat	hals	neck	NECK	1333	433	dialect-comparison	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
284	seroekat	s e r u k a t	serukat	s ɛ r u k a t	sɛrukat	borst	chest	BOX	1465	433	dialect-comparison	Tepeket	von Rosenberg (1853)	Mentawai
