ID	Mentawai	Commons	IPA	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
1	bedoetoei	b e d u t u i	b ɛ d u t u i	gaan	go	GO	695	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
2	soeroeke	s u r u k e	s u r u k ɛ	staan	stand	STAND	1442	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
3	noengan	n u ng a n	n u ŋ a n	loopen	run	RUN	1519	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
4	koeddoe	k u d d u	k u d d u	zitten	sit	SIT	1416	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
5	kepanoebara	k e p a n u b a r a	k ɛ p a n u b a r a	komen	come	COME	1446	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
6	gala	g a l a	ɡ a l a	blijven	stay	REMAIN	987	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
7	roekoetnake , -boekakai	r u k u t n a k e _ , _ - b u k a k a i	r u k u t n a k ɛ b u k a k a i	openen	open	OPEN	1156	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
8	kau , aketkako	k a u _ , _ a k e t k a k o	k a u a k ɛ t k a k o	geven	give	GIVE	1447	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
9	poengroeat	p u ng r u a t	p u ŋ r u a t	schenken	gift	DONATE	196	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
10	pasakkie	p a s a k k i	p a s a k k i	verkoopen	sell	SELL	1571	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
11	menginang	m e ng i n a ng	m ɛ ŋ i n a ŋ	koopen	buy	BUY	1869	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
12	noba	n o b a	n o b a	willen	want	WANT	1784	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
13	djo	j o	d͡ʒ o	zien	see	SEE	1409	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
14	galeij	g a l e:i	ɡ a l ɛi̯	maken	make	MAKE	734	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
15	gaba	g a b a	ɡ a b a	zoeken	search	LOOK FOR	1468	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
16	tibboi	t i b b o i	t i b b o i	spreken	speak	SPEAK	1623	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
17	gah-gah	g a ' - g a '	ɡ a ʔ ɡ a ʔ	lagchen	laugh	LAUGH	1355	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
18	mso	m s o	m s o	huilen	cry	CRY	1839	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
19	mokkom	m o k k o m	m o k k o m	eten	food	FOOD	256	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
20	lo	l o	l o	drinken	drink	DRINK	1401	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
21	meleoe	m e l e u	m ɛ l ɛ u	koken	cooking	COOK (SOMETHING)	1100	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
22	tjatja	c a c a	t͡ʒ a t͡ʒ a	snijden	cut	CUT	1432	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
23	bohbo	b o ' b o	b o ʔ b o	slaan	hit	HIT	1433	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
24	megage	m e g a g e	m ɛ ɡ a ɡ ɛ	durven	dare	DARE	1779	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
25	melotje	m e l o c e	m ɛ l o t͡ʒ ɛ	dooden	dead	DEAD	1625	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
26	mereb	m e r e b	m ɛ r ɛ b	slapen	sleep	SLEEP	1585	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
27	pengaboetoet	p e ng a b u t u t	p ɛ ŋ a b u t u t	droomen	dreams	DREAM	2374	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
28	ake	a k e	a k ɛ	smeeken	beg	BEG	3534	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
29	besilie	b e s i l i	b ɛ s i l i	ruilen	exchange	EXCHANGE	2509	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
30	atei	a t e i	a t ɛ i	beminnen	love	LOVE	923	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
31	einehe	e i n e h e	ɛ i n ɛ h ɛ	wenschen	wishes	LONGING (WISH)	2960	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
32	soelap	s u l a p	s u l a p	naaijen	sewing	SEW	1457	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
33	kareij	k a r e:i	k a r ɛi̯	klimmen	climb	CLIMB	1102	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
34	soerat	s u r a t	s u r a t	lezen en schrijven	reading and writing		NA	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
35	melotto	m e l o t t o	m ɛ l o t t o	vreezen	dread	FEAR (FRIGHT)	781	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
36	pogoloe	p o g o l u	p o ɡ o l u	vechten	fight	FIGHT	1423	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
37	tietie	t i t i	t i t i	tatouëren	tattoo	TATTOO	68	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
38	menanggo	m e n a ng g o	m ɛ n a ŋ ɡ o	stelen	steal	STEAL	713	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
39	popogoij	p o p o g o:i	p o p o ɡ oːi̯	leugen	lie	LIE (FALSEHOOD)	2826	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
40	loeka	l u k a	l u k a	roeijen	rowing		NA	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
41	galeij	g a l e:i	ɡ a l ɛi̯	werken	work	WORKING OR WORK	2281	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
42	goeaba	g u a b a	ɡ u a b a	denken	thinking	THINK	2271	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
43	idoe	i d u	i d u	ruiken	smell	SMELL	2124	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
44	abara	a b a r a	a b a r a	binden	bind	TIE	1917	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
45	melija	m e l i y a	m ɛ l i j a	huwen	marrying	MARRY	203	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
46	moele-moele	m u l e - m u l e	m u l ɛ m u l ɛ	groeten	regards	GREET	3552	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
47	melala	m e l a l a	m ɛ l a l a	zwemmen	swimming	SWIM	1439	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
48	tjilagoeij	c i l a g u:i	t͡ʒ i l a ɡ ui̯	boogschieten	archery		NA	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
49	simaliet	s i m a l i t	s i m a l i t	dansen	dance	DANCE	1879	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
50	oereij	u r e:i	u r ɛi̯	zingen	sing	SING	1261	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
51	djina	j i n a	d͡ʒ i n a	duiken	diving	DIVE	119	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
52	kapira	k a p i r a	k a p i r a	visschen	fishing	FISHING	2638	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
53	kaliba	k a l i b a	k a l i b a	vergeten	forgotten	FORGET	1523	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
54	nobno	n o b n o	n o b n o	vragen	ask	ASK (INQUIRE)	1309	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
55	ake	a k e	a k ɛ	brengen	bring	BRING	692	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
56	mabehoola	m a b e h o o l a	m a b ɛ h o o l a	wachten	wait	WAIT (FOR)	1590	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
57	momoilejoe	m o m o i l e y u	m o m o i l ɛ j u	kunnen	can	BE ABLE	972	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
58	elejoe	e l e y u	ɛ l ɛ j u	zijn	its	HIS OR HER	2092	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
59	kawat	k a w a t	k a w a t	worden	become	BECOME	1990	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
60	baramata	b a r a m a t a	b a r a m a t a	levendig	alive	BE ALIVE	1422	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
61	matean	m a t e a n	m a t ɛ a n	dood	dead	DEAD	1625	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
62	ebejo	e b e y o	ɛ b ɛ j o	groot	great	BIG	1202	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
63	ngosoh	ng o s o '	ŋ o s o ʔ	klein	small	SMALL	1246	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
64	mereboe	m e r e b u	m ɛ r ɛ b u	regt	straight	STRAIGHT	1404	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
65	mebijau	m e b i y a u	m ɛ b i j a u	krom	crooked	CROOKED	297	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
66	narda	n a r d a	n a r d a	lang	long	LONG	1203	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
67	tete	t e t e	t ɛ t ɛ	kort	short	SHORT	1645	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
68	mesanne	m e s a n n e	m ɛ s a n n ɛ	zwaar	heavy	HEAVY	1210	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
69	menangka	m e n a ng k a	m ɛ n a ŋ k a	ligt	lying	LIE DOWN	215	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
70	alia	a l i a	a l i a	breed	wide	WIDE	1243	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
71	naboeak	n a b u a k	n a b u a k	hoog	high	HIGH	1265	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
72	metaleb	m e t a l e b	m ɛ t a l ɛ b	laag	low	LOW	721	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
73	keëroe	k e 'e r u	k ɛ ʔɛ r u	diep	deep	DEEP	1593	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
74	meninim	m e n i n i m	m ɛ n i n i m	fijn	fine	FINE OR THIN	2157	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
75	mkabejoean	m k a b e y u a n	m k a b ɛ j u a n	grof	coarse	COARSE	2151	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
76	mehroe	m e h r u	m ɛ h r u	schoon	clean	CLEAN	704	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
77	tamehroe	t a m e h r u	t a m ɛ h r u	leelijk	ugly	UGLY	1548	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
78	arehjoe	a r e ' y u	a r ɛ ʔ j u	verre	far	FAR	1406	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
