Dutch	Maleisch	Lampongsch	Redjangsch	Battasch	Atjinesch	Niasch	Mentaweijsch	Engganoosch
een	satoe	sije	do	sada	sa	sara	sara	daheij
twee	doea	rowa	dooij	doeo	doea	doea	doea	adoea
drie	tiga	pullo	tellau	tolo	tlo	feloe	teloe	agoloe
vier	ampat	ampa	mpat	opat	pat	effa	eppat	aöpa
vijf	lima	lema	lema	lema	lemoeng	limang	liman	alima
zes	anam	anam	noom	onam	nam	e nem	ennem	akiakoio
zeven	toedjoe	peto	tojoa	paito	tojo	fitoe	pitoe	alima-adoea
acht	delapan	oallo	delapon	oallo	dlappang	walloe	walloe	alima-agoloe
negen	sembilan	sewa	sempilan	sea	sakorang	siwa	siwa	alima-aöpa
tien	sapoeloe	polo	depoolo	sapolo	sapolo	foeloe	poeloe	tahapoeloe
