ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
1	bedoetoei	b e d u t u i	bedutui	b ɛ d u t u i	bɛdutui	gaan	go	GO	695	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
2	soeroeke	s u r u k e	suruke	s u r u k ɛ	surukɛ	staan	stand	STAND	1442	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
3	noengan	n u ng a n	nungan	n u ŋ a n	nuŋan	loopen	run	RUN	1519	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
4	koeddoe	k u d d u	kuddu	k u d d u	kuddu	zitten	sit	SIT	1416	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
5	kepanoebara	k e p a n u b a r a	kepanubara	k ɛ p a n u b a r a	kɛpanubara	komen	come	COME	1446	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
6	gala	g a l a	gala	ɡ a l a	ɡala	blijven	stay	REMAIN	987	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
7	roekoetnake , -boekakai	r u k u t n a k e _ , _ - b u k a k a i	rukutnake , -bukakai	r u k u t n a k ɛ _ , _ - b u k a k a i	rukutnakɛ , -bukakai	openen	open	OPEN	1156	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
8	kau , aketkako	k a u _ , _ a k e t k a k o	kau , aketkako	k a u _ , _ a k ɛ t k a k o	kau , akɛtkako	geven	give	GIVE	1447	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
9	poengroeat	p u ng r u a t	pungruat	p u ŋ r u a t	puŋruat	schenken	gift	DONATE	196	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
10	pasakkie	p a s a k k i	pasakki	p a s a k k i	pasakki	verkoopen	sell	SELL	1571	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
11	menginang	m e ng i n a ng	menginang	m ɛ ŋ i n a ŋ	mɛŋinaŋ	koopen	buy	BUY	1869	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
12	noba	n o b a	noba	n o b a	noba	willen	want	WANT	1784	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
13	djo	j o	jo	d͡ʒ o	d͡ʒo	zien	see	SEE	1409	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
14	galeij	g a l e:i	gale:i	ɡ a l ɛi̯	ɡalɛi̯	maken	make	MAKE	734	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
15	gaba	g a b a	gaba	ɡ a b a	ɡaba	zoeken	search	LOOK FOR	1468	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
16	tibboi	t i b b o i	tibboi	t i b b o i	tibboi	spreken	speak	SPEAK	1623	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
17	gah-gah	g a ' - g a '	ga'-ga'	ɡ a ʔ - ɡ a ʔ	ɡaʔ-ɡaʔ	lagchen	laugh	LAUGH	1355	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
18	mso	m s o	mso	m s o	mso	huilen	cry	CRY	1839	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
19	mokkom	m o k k o m	mokkom	m o k k o m	mokkom	eten	food	FOOD	256	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
20	lo	l o	lo	l o	lo	drinken	drink	DRINK	1401	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
21	meleoe	m e l e u	meleu	m ɛ l ɛ u	mɛlɛu	koken	cooking	COOK (SOMETHING)	1100	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
22	tjatja	c a c a	caca	t͡ʒ a t͡ʒ a	t͡ʒat͡ʒa	snijden	cut	CUT	1432	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
23	bohbo	b o ' b o	bo'bo	b o ʔ b o	boʔbo	slaan	hit	HIT	1433	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
24	megage	m e g a g e	megage	m ɛ ɡ a ɡ ɛ	mɛɡaɡɛ	durven	dare	DARE	1779	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
25	melotje	m e l o c e	meloce	m ɛ l o t͡ʒ ɛ	mɛlot͡ʒɛ	dooden	dead	DEAD	1625	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
26	mereb	m e r e b	mereb	m ɛ r ɛ b	mɛrɛb	slapen	sleep	SLEEP	1585	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
27	pengaboetoet	p e ng a b u t u t	pengabutut	p ɛ ŋ a b u t u t	pɛŋabutut	droomen	dreams	DREAM	2374	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
